address,suburb,postcode,sale_price,sale_date,bedrooms,bathrooms,parking,land_size_sqm,property_type,description,listing_url,agent_name,agency_name
"63 Leslie St, Bardon, QLD 4065",Bardon,4065,1800000,19 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/63-leslie-st-bardon-qld-4065-5051396,Agent name not disclosed,Coronis Strathpine
"72 Macgregor Tce, Bardon, QLD 4065",Bardon,4065,750000,18 Nov 2025,,,,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/72-macgregor-tce-bardon-qld-4065-2648953,,
"30 Lewin St, Bardon, QLD 4065",Bardon,4065,1200000,15 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/30-lewin-st-bardon-qld-4065-5051335,Agent name not disclosed,SPACE Property Paddington
"63 Fletcher Pde, Bardon, QLD 4065",Bardon,4065,1208000,13 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/63-fletcher-pde-bardon-qld-4065-5051385,Adam Downes,Ray White Ashgrove
"136 Simpsons Rd, Bardon, QLD 4065",Bardon,4065,2200000,18 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/136-simpsons-rd-bardon-qld-4065-4076862,Jack Dangerfield,Ray White Ashgrove
"35 Empress Tce, Bardon, QLD 4065",Bardon,4065,,8 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/35-empress-tce-bardon-qld-4065-2643169,Caroline Brown,Caroline Brown Property
"84 Coopers Camp Rd, Bardon, QLD 4065",Bardon,4065,1605000,5 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/84-coopers-camp-rd-bardon-qld-4065-2589592,Agent name not disclosed,Oikos Real Estate
"72 Coolibah St, Bardon, QLD 4065",Bardon,4065,,18 Oct 2025,3,1,1,1280,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/72-coolibah-st-bardon-qld-4065-5086468,Caroline Brown,Caroline Brown Property
"68 Jubilee Tce, Bardon, QLD 4065",Bardon,4065,,7 Nov 2025,3,1,3,640,House,,https://www.onthehouse.com.au/property/qld/bardon-4065/68-jubilee-tce-bardon-qld-4065-5051308,Simon Wheelans,Place West
"12 Nellings Pl, Aspley, QLD 4034",Aspley,4034,2116000,20 Dec 2025,4,3,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/12-nellings-pl-aspley-qld-4034-5058276,Catherine White,Harcourts Pinnacle - Aspley
